,id,dormer_label,roof_label,labled_by,path_index,path
0,0303100000581886,no_dormers,langskap,8,3,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000581886.jpg
1,0303100000581887,no_dormers,langskap,7,4,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000581887.jpg
2,0303100000581896,no_dormers,langskap,9,12,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000581896.jpg
3,0303100000581899,no_dormers,langskap,9,15,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000581899.jpg
4,0303100000581909,no_dormers,langskap,7,24,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000581909.jpg
5,0303100000581915,no_dormers,langskap,3,30,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000581915.jpg
6,0303100000581916,no_dormers,langskap,9,31,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000581916.jpg
7,0303100000581924,dormers,langskap,3,36,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000581924.jpg
8,0303100000581926,no_dormers,langskap,7,37,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000581926.jpg
9,0303100000582056,no_dormers,langskap,7,39,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582056.jpg
10,0303100000582058,no_dormers,langskap,7,40,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582058.jpg
11,0303100000582062,no_dormers,langskap,3,42,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582062.jpg
12,0303100000582072,no_dormers,langskap,3,47,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582072.jpg
13,0303100000582083,no_dormers,langskap,3,53,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582083.jpg
14,0303100000582085,no_dormers,langskap,3,54,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582085.jpg
15,0303100000582089,no_dormers,langskap,3,57,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582089.jpg
16,0303100000582147,no_dormers,langskap,3,64,C:\Users\ckw\FD\frTraining\M_IE\FF_Hackathon\Hackathon files\Nadir afbeeldingen\0303100000582147.jpg
